Type,Game ID,Game Name,BGG ID,Description,Categories,Deposit,Game Size
missing Cost Price,recaKzDhEqqZUmeCc,Virus! 2 Evolution,266667,,,,
missing Cost Price,rec176148283137907ml30yrogzh,War on Terror: The Boardgame,24396,,,,
missing Cost Price,rec0Olmx7RgiJ1dOJ,Wavelength,2745,,,,
missing Cost Price,rec18WIFvrsFTNUt2,What Do You Meme?,132203,,,,
missing Cost Price,recpef1RvwNIGxJZ2,When i Dream,198454,,,,
missing Cost Price,rec4o8KtHzQ6vdiSB,Wingspan,266192,,,,
missing Cost Price,recdaTZd9JXzptY36,Wingspan - European Expansion,290448,,,,
missing Cost Price,reclsLjrM9XwumfME,Wingspan: Oceania Expansion ,300580,,,,
missing Cost Price,recxgRkuUKBqr9Bbb,Wits & Wagers,20100,,,,
missing Cost Price,rec1761483070647s9xjo1st1lo,Xiangqi (Chinese Chess),2393,,,,
airtable Not Found,rec1761481505106lrkeazqhy2,A Little Wordy,335869,,,,
airtable Not Found,rec1761217508603vdlar9zc8vi,Ark Nova,342942,,,,
airtable Not Found,rec176121771971549g91ov3l8l,Barcelona,383607,,,,
airtable Not Found,rec17614809588848anjmzuf6tm,Battle Line,760,,,,
airtable Not Found,rec1761483014413dzcavrl9t2,CATAN: Dawn of Humankind,358858,,,,
airtable Not Found,rec17614815736867qs3mn8iom5,Cheese Master,368168,,,,
airtable Not Found,rec1761481909357suy54bne6cm,Codenames: Deep Undercover,205158,,,,
airtable Not Found,rec1761483298777cv7gqf38g45,Descent: Legends of the Dark,322708,,,,
airtable Not Found,rec1761313581246bafdb8fdu2n,Ghost Blitz | Geistes,83195,,,,
airtable Not Found,rec1761482614301fyro98suq28,God of War: The Card Game,278120,,,,
airtable Not Found,rec1761483191655eoh0ujmtheb,Home Sweet Home (or Not),358219,,,,
airtable Not Found,rec17614825209821ay29pbtvjc,Illuminati,28,,,,
airtable Not Found,rec17614818354125o3n2zg4z42,Loot,770,,,,
airtable Not Found,rec17612980483919s9bu2ye7cl,Monopoly,1406,,,,
airtable Not Found,rec1761483123804g9svgbwlowl,Pachisi,2136,,,,
airtable Not Found,rec17614808703877j38halrsi8,Pokémon Trading Card Game: Battle Academy,310953,,,,
airtable Not Found,rec1761481144840681iny03gff,Quantik,286295,,,,
airtable Not Found,rec1761482955184212sz5cme4e,Scotland Yard,438,,,,
airtable Not Found,rec17614819754570z5ccseu3cxj,Scrabble,320,,,,
airtable Not Found,rec176140432286472h6q6ey6x5,Shadow Hunters (Tiếng Việt),24068,,,,
airtable Not Found,rec1761482663679v1gp3erwo9m,Spyfall,166384,,,,
airtable Not Found,rec176148118452621rv05qyq7s,Squadro,245222,,,,
airtable Not Found,rec17613837343048fumzxdupgk,Stem & Branch,418388,,,,
airtable Not Found,rec1761482573639z3p6qkwnui,Telestrations: Upside Drawn,302463,,,,
airtable Not Found,rec176148203519879mrfghk1tr,The Sherlock Files: Vol II – Curious Capers,315044,,,,
airtable Not Found,rec1761483349415l057eoo1m99,The Shivers,287411,,,,
